CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),City,Customer_Level
1,Male,19,15,39,Delhi,Low
2,Male,21,15,81,Mumbai,High
3,Female,20,16,6,Delhi,Low
4,Female,23,16,77,Bangalore,High
5,Female,31,17,40,Mumbai,Low
6,Female,22,17,76,Delhi,High
7,Female,35,18,6,Mumbai,Low
8,Female,23,18,94,Delhi,High
9,Male,64,19,3,Bangalore,Low
10,Female,30,19,72,Mumbai,High
11,Male,67,19,14,Delhi,Low
12,Female,35,19,99,Mumbai,High
13,Female,58,20,15,Delhi,Low
14,Female,24,20,77,Bangalore,High
15,Male,37,20,13,Mumbai,Low
16,Male,22,20,79,Delhi,High
17,Female,35,21,35,Mumbai,Low
18,Male,20,21,66,Delhi,Medium
19,Male,52,23,29,Bangalore,Low
20,Female,35,23,98,Mumbai,High
21,Male,35,24,35,Delhi,Low
22,Male,25,24,73,Mumbai,High
23,Female,46,25,5,Delhi,Low
24,Male,31,25,73,Bangalore,High
25,Female,54,28,14,Mumbai,Low
26,Male,29,28,82,Delhi,High
27,Female,45,28,32,Mumbai,Low
28,Male,35,28,61,Delhi,Medium
29,Female,40,29,31,Bangalore,Low
30,Female,23,29,87,Mumbai,High
31,Male,60,30,4,Delhi,Low
32,Female,21,30,73,Mumbai,High
33,Male,53,33,4,Delhi,Low
34,Male,18,33,92,Bangalore,High
35,Female,49,33,14,Mumbai,Low
36,Female,21,33,81,Delhi,High
37,Female,42,34,17,Mumbai,Low
38,Female,30,34,73,Delhi,High
39,Female,36,37,26,Bangalore,Low
40,Female,20,37,75,Mumbai,High
41,Female,65,38,35,Delhi,Low
42,Male,24,38,92,Mumbai,High
43,Male,48,39,36,Delhi,Low
44,Female,31,39,61,Bangalore,Medium
45,Female,49,39,28,Mumbai,Low
46,Female,24,39,65,Delhi,Medium
47,Female,50,40,55,Mumbai,Medium
48,Female,27,40,47,Delhi,Medium
49,Female,29,40,42,Bangalore,Medium
50,Female,31,40,42,Mumbai,Medium
51,Female,49,42,52,Delhi,Medium
52,Male,33,42,60,Mumbai,Medium
53,Female,31,43,54,Delhi,Medium
54,Male,59,43,60,Bangalore,Medium
55,Female,50,43,45,Mumbai,Medium
56,Male,47,43,41,Delhi,Medium
57,Female,51,44,50,Mumbai,Medium
58,Male,69,44,46,Delhi,Medium
59,Female,27,46,51,Bangalore,Medium
60,Male,53,46,46,Mumbai,Medium
61,Male,70,46,56,Delhi,Medium
62,Male,19,46,55,Mumbai,Medium
63,Female,67,47,52,Delhi,Medium
64,Female,54,47,59,Bangalore,Medium
65,Male,63,48,51,Mumbai,Medium
66,Male,18,48,59,Delhi,Medium
67,Female,43,48,50,Mumbai,Medium
68,Female,68,48,48,Delhi,Medium
69,Male,19,48,59,Bangalore,Medium
70,Female,32,48,47,Mumbai,Medium
71,Male,70,49,55,Delhi,Medium
72,Female,47,49,42,Mumbai,Medium
73,Female,60,50,49,Delhi,Medium
74,Female,60,50,56,Bangalore,Medium
75,Male,59,54,47,Mumbai,Medium
76,Male,26,54,54,Delhi,Medium
77,Female,45,54,53,Mumbai,Medium
78,Male,40,54,48,Delhi,Medium
